Infringement Id,Status
290807,Paid
293389,Paid
134725,Unmanaged
136023,Paid
134614,Unmanaged
246404,Paid
246406,Paid
290637,Paid
353087,Unmanaged
134958,Paid
134956,Paid
136035,Unmanaged
134955,Closed
136036,Unmanaged
136032,Closed
233878,Unmanaged
136033,Unmanaged
136002,Paid
136030,Closed
135979,Paid
354951,Unmanaged
165328,Paid
354826,Unmanaged
353011,Unmanaged
175748,Due
136009,Closed
136028,Closed
136029,Closed
136018,Closed
136026,Closed
136025,Paid
136020,Paid
136001,Paid
136019,Unmanaged
259895,Paid
136007,Paid
134953,Unmanaged
134952,Paid
136016,Unmanaged
135992,Paid
135949,Unmanaged
134936,Paid
135982,Unmanaged
136022,Unmanaged
290663,Paid
136006,Closed
135978,Unmanaged
136005,Unmanaged
135747,Paid
136011,Paid
136017,Paid
136012,Unmanaged
259887,Paid
293449,Paid
136015,Paid
135030,Paid
136000,Paid
135948,Unmanaged
136010,Paid
92711,Unmanaged
135994,Paid
134949,Paid
134948,Unmanaged
246403,Paid
136004,Paid
134938,Unmanaged
135998,Unmanaged
420922,Outstanding
290797,Paid
283919,Unmanaged
134719,Unmanaged
245522,Paid
136003,Unmanaged
135419,Paid
136008,Unmanaged
283866,Unmanaged
246402,Paid
290658,Paid
134947,Unmanaged
135031,Unmanaged
135984,Unmanaged
301082,Paid
135999,Unmanaged
302779,Paid
135993,Unmanaged
135973,Paid
134714,Paid
134718,Unmanaged
283672,Unmanaged
259898,Outstanding
134935,Paid
135968,Unmanaged
135971,Paid
135986,Paid
135997,Unmanaged
338063,Paid
135977,Unmanaged
135975,Unmanaged
290636,Paid
135980,Paid
135995,Unmanaged
135957,Unmanaged
134946,Paid
135029,Paid
134715,Closed
134944,Paid
135991,Paid
135990,Closed
135989,Unmanaged
290796,Paid
135983,Unmanaged
283868,Unmanaged
135981,Paid
135952,Paid
290799,Paid
354950,Unmanaged
352650,Unmanaged
352646,Paid
90186,Paid
134942,Paid
135976,Unmanaged
135988,Unmanaged
135996,Paid
135985,Unmanaged
135969,Paid
135959,Paid
135958,Unmanaged
135987,Unmanaged
134708,Unmanaged
134713,Unmanaged
134712,Unmanaged
134707,Paid
135965,Unmanaged
135962,Unmanaged
135964,Closed
290657,Paid
355086,Unmanaged
290666,Paid
135974,Unmanaged
134700,Unmanaged
135967,Unmanaged
135972,Unmanaged
246400,Paid
309798,Paid
134711,Unmanaged
134710,Unmanaged
135947,Unmanaged
135944,Paid
135966,Paid
293461,Paid
92693,Paid
240644,Paid
354885,Unmanaged
354940,Paid
290661,Paid
134704,Unmanaged
135961,Unmanaged
135956,Unmanaged
135963,Unmanaged
134706,Unmanaged
283886,Unmanaged
87554,Paid
135027,Paid
283983,Unmanaged
92717,Unmanaged
135942,Closed
136125,Paid
355139,Unmanaged
355163,Unmanaged
175543,Paid
354977,Paid
290665,Paid
134929,Paid
134928,Paid
134927,Closed
302636,Paid
246399,Paid
135953,Closed
290736,Paid
135960,Paid
134925,Paid
134922,Paid
259906,Due
283984,Unmanaged
135028,Paid
134705,Unmanaged
290559,Paid
337325,Unmanaged
246398,Paid
135950,Paid
135955,Unmanaged
135954,Unmanaged
134699,Closed
135945,Unmanaged
134703,Closed
92694,Unmanaged
135741,Paid
134696,Unmanaged
135951,Unmanaged
245523,Paid
135749,Unmanaged
134702,Unmanaged
290725,Paid
135946,Unmanaged
134695,Unmanaged
296768,Paid
352747,Unmanaged
135943,Unmanaged
135938,Unmanaged
135739,Paid
135941,Unmanaged
290798,Paid
135939,Paid
134694,Paid
135937,Paid
135936,Unmanaged
293446,Paid
290638,Paid
381369,Paid
246396,Paid
135933,Unmanaged
166300,Paid
135026,Paid
135940,Unmanaged
134924,Paid
135934,Paid
134934,Paid
135729,Paid
246397,Paid
135738,Unmanaged
134698,Closed
283985,Unmanaged
135746,Unmanaged
134909,Paid
290731,Paid
290642,Paid
352475,Unmanaged
135935,Unmanaged
134933,Unmanaged
85324,Paid
134697,Unmanaged
134932,Unmanaged
283986,Unmanaged
92714,Unmanaged
293445,Paid
